Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
15,K001,P.S. 1 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/13/2025,DIIR,6/12/2025,DIIR,"$200,000.00 ","$200,000.00 ",DSF0001085930
15,K001,P.S. 1 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/13/2025,DIIR,6/12/2025,DIIR,"$500,000.00 ","$500,000.00 ",DSF0001112510
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PARAPETS,"CM,F&E",PNS,PNS,PNS,PNS,3694,"$3,694.00 ","$3,694.00 ",DSF0001009410
15,K001,P.S. 1 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,710850,"$710,850.00 ","$79,999.00 ","DSF0001034906, DSF0001009409, DSF0001083827"
15,K001,P.S. 1 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,3991,"$3,991.00 ","$3,991.00 ",DSF0001009411
15,K001,P.S. 1 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,6275,"$6,275.00 ","$6,275.00 ",DSF0001009411
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PARAPETS,Construction,PNS,PNS,PNS,PNS,6279,"$6,279.00 ","$6,279.00 ",DSF0001009410
15,K001,P.S. 1 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,11424375,"$11,424,375.00 ","$253,202.00 ","DSF0001034906, DSF0001009409, DSF0001083827"
15,K001,P.S. 1 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,12/28/2022,6/15/2023,6/15/2023,507749,"$512,980.00 ","$455,409.00 ","DSF0001034906, DSF0001009409, DSF0001083827"
15,K001,P.S. 1 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Design,Complete,12/29/2022,6/1/2023,6/15/2023,31341,"$31,341.00 ","$25,273.00 ",DSF0001009411
