"project_geographic_district","project_building_identifier","project_school_name","project_type","project_description","project_phase_name","project_status_name","project_phase_actual_start_date","project_phase_planned_end_date","project_phase_actual_end_date","BAC","EAC","AC","perc_complete","dfs_numbers"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT","Scope","Complete","2022-06-16","2022-11-16","2022-12-28","101549.00","158126.00","158126.00","100.00","DSF0001034906, DSF0001009409, DSF0001083827"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","PARAPETS","Scope","Complete","2022-06-30","2022-11-16","2022-12-28","11400.00","11400.00","11400.00","100.00","DSF0001009410"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","EXTERIOR MASONRY","Scope","Complete","2022-06-30","2022-11-16","2022-12-28","8233.00","8233.00","8233.00","100.00","DSF0001009411"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT","Design","Complete","2022-12-28","2023-06-15","2023-06-15","507749.00","512980.00","455409.00","88.78","DSF0001034906, DSF0001009409, DSF0001083827"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","EXTERIOR MASONRY","Design","Complete","2022-12-29","2023-06-01","2023-06-15","31341.00","31341.00","25273.00","80.64","DSF0001009411"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","PARAPETS","Design","Complete","2022-12-29","2023-06-01","2023-06-15","45268.00","45268.00","37197.00","82.17","DSF0001009410"
15,"K001","P.S. 1 - BROOKLYN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-04-13","DIIR","2025-06-12","DIIR","500000.00","500000.00","100.00","DSF0001112510"
15,"K001","P.S. 1 - BROOKLYN","DIIT - RESOA","FY24 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-04-13","DIIR","2025-06-12","DIIR","200000.00","200000.00","100.00","DSF0001085930"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","PARAPETS","CM,F&E","PNS","PNS","PNS","PNS","3694.00","3694.00","3694.00","100.00","DSF0001009410"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT","CM,F&E","PNS","PNS","PNS","PNS","710850.00","710850.00","79999.00","11.25","DSF0001034906, DSF0001009409, DSF0001083827"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","EXTERIOR MASONRY","CM,F&E","PNS","PNS","PNS","PNS","3991.00","3991.00","3991.00","100.00","DSF0001009411"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","EXTERIOR MASONRY","Construction","PNS","PNS","PNS","PNS","6275.00","6275.00","6275.00","100.00","DSF0001009411"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","PARAPETS","Construction","PNS","PNS","PNS","PNS","6279.00","6279.00","6279.00","100.00","DSF0001009410"
15,"K001","P.S. 1 - BROOKLYN","SCA CIP","FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT","Construction","PNS","PNS","PNS","PNS","11424375.00","11424375.00","253202.00","2.22","DSF0001034906, DSF0001009409, DSF0001083827"
